test_1_score,test_2_score,test_3_score,test_4_score,hours_studied_per_week,attendance_percent,classes_missed,office_hours_attended,Study_attendence_interaction,Passed the class
0.55,0.87,0.98,0.77,0.03,0.57,0.07,0.0,0.017099999999999997,0
0.95,0.45,0.98,0.59,0.06,0.62,0.07,0.03,0.0372,0
0.93,0.59,0.93,0.55,0.07,0.64,0.09,0.0,0.044800000000000006,0
0.53,0.68,0.86,0.64,0.06,0.72,0.06,0.0,0.043199999999999995,0
0.78,0.48,0.88,0.96,0.03,0.6,0.07,0.0,0.018,0
0.72,0.62,0.57,0.76,0.07,0.76,0.05,0.03,0.053200000000000004,0
0.55,0.61,0.42,0.59,0.0,0.5,0.1,0.0,0.0,0
0.81,0.51,0.57,0.7,0.15,0.72,0.06,0.05,0.108,1
0.91,0.94,0.97,0.68,0.04,0.65,0.07,0.04,0.026000000000000002,1
0.67,0.89,0.46,0.53,0.09,0.71,0.07,0.02,0.0639,0
0.64,0.96,0.67,0.71,0.06,0.73,0.04,0.01,0.0438,0
0.89,0.96,0.56,0.87,0.06,0.57,0.09,0.03,0.034199999999999994,0
0.81,0.54,0.64,0.64,0.0,0.61,0.1,0.0,0.0,0
0.58,0.45,0.57,0.55,0.02,0.52,0.09,0.0,0.010400000000000001,0
0.86,0.46,0.91,0.99,0.05,0.71,0.06,0.03,0.0355,0
0.59,0.93,0.79,0.6,0.04,0.59,0.06,0.02,0.0236,0
0.69,0.66,0.82,0.93,0.1,0.78,0.06,0.02,0.07800000000000001,1
0.55,0.76,0.42,0.79,0.14,0.74,0.06,0.03,0.10360000000000001,0
0.97,0.73,0.64,0.89,0.08,0.69,0.05,0.04,0.0552,1
0.52,0.79,0.46,0.73,0.09,0.96,0.03,0.01,0.08639999999999999,0
0.91,0.61,0.86,0.71,0.13,0.83,0.04,0.05,0.1079,1
0.6,0.56,0.49,0.79,0.0,0.67,0.05,0.0,0.0,0
0.92,0.68,0.83,0.95,0.16,0.76,0.07,0.04,0.1216,1
0.66,0.74,0.83,0.53,0.0,0.57,0.1,0.0,0.0,0
0.81,0.88,0.9,0.99,0.08,0.63,0.07,0.05,0.0504,1
0.53,0.74,0.58,0.55,0.09,0.83,0.05,0.0,0.07469999999999999,0
0.53,0.64,0.54,0.87,0.13,0.67,0.09,0.0,0.08710000000000001,0
0.66,0.86,0.6,0.75,0.07,0.73,0.07,0.03,0.051100000000000007,0
0.9,0.51,0.6,0.68,0.07,0.62,0.1,0.03,0.0434,0
0.68,0.86,0.97,0.51,0.15,0.67,0.05,0.03,0.1005,0
0.54,0.94,0.76,0.53,0.0,0.56,0.09,0.03,0.0,0
0.81,0.98,0.67,0.54,0.03,0.7,0.09,0.0,0.020999999999999998,0
0.71,0.82,0.84,0.96,0.01,0.72,0.1,0.02,0.0072,0
0.55,0.51,0.71,0.84,0.0,0.62,0.1,0.01,0.0,0
0.84,0.93,0.96,0.78,0.04,0.63,0.07,0.02,0.0252,0
0.71,0.74,0.8,0.65,0.13,0.79,0.03,0.07,0.10270000000000001,1
0.5,0.56,0.93,0.94,0.12,0.71,0.07,0.02,0.0852,0
0.69,0.93,0.66,0.61,0.1,0.67,0.1,0.02,0.067,0
0.71,0.75,0.98,0.7,0.12,0.63,0.06,0.03,0.0756,0
0.97,0.62,0.62,0.58,0.12,0.83,0.06,0.06,0.0996,1
0.6,0.9,0.49,0.6,0.07,0.62,0.07,0.02,0.0434,0
0.62,0.87,0.79,0.57,0.12,0.63,0.08,0.02,0.0756,0
0.91,0.46,0.8,0.75,0.1,0.68,0.08,0.0,0.068,0
0.52,0.97,0.45,0.81,0.1,0.79,0.08,0.0,0.07900000000000001,0
0.58,0.77,0.63,0.88,0.07,0.75,0.05,0.04,0.052500000000000005,1
0.61,0.55,0.57,0.53,0.06,0.64,0.1,0.03,0.0384,0
0.72,0.78,0.49,0.83,0.06,0.62,0.09,0.05,0.0372,1
0.63,0.6,0.95,0.77,0.0,0.83,0.04,0.0,0.0,0
0.82,0.98,0.54,0.74,0.08,0.61,0.09,0.02,0.0488,0
0.67,0.79,0.84,0.93,0.07,0.68,0.08,0.03,0.04760000000000001,0
0.98,0.96,0.82,0.84,0.05,0.59,0.1,0.05,0.0295,1
0.9,0.77,0.73,0.68,0.05,0.74,0.06,0.0,0.037,0
0.58,0.65,0.47,0.84,0.09,0.78,0.05,0.03,0.0702,0
0.72,0.64,0.89,0.88,0.11,0.61,0.06,0.01,0.06709999999999999,0
0.59,0.52,0.74,0.78,0.0,0.63,0.04,0.0,0.0,0
0.68,0.95,0.94,0.63,0.04,0.5,0.09,0.02,0.02,0
0.96,0.7,0.66,0.7,0.12,0.74,0.07,0.04,0.08879999999999999,1
0.54,0.77,0.64,0.85,0.0,0.5,0.06,0.0,0.0,0
0.96,0.7,0.42,0.87,0.07,0.71,0.09,0.01,0.0497,0
0.72,0.81,0.6,0.63,0.01,0.58,0.1,0.02,0.0058,0
0.79,0.74,0.96,0.89,0.03,0.5,0.06,0.0,0.015,0
0.74,0.75,0.78,0.99,0.09,0.75,0.06,0.03,0.0675,1
0.77,0.77,0.71,0.64,0.1,0.71,0.08,0.06,0.071,1
0.83,0.55,0.89,0.99,0.12,0.63,0.09,0.05,0.0756,1
0.94,0.97,0.92,0.79,0.23,0.91,0.04,0.09,0.2093,1
0.97,0.85,0.6,0.96,0.08,0.67,0.1,0.03,0.0536,0
0.96,0.49,0.48,0.61,0.06,0.7,0.04,0.0,0.041999999999999996,0
0.74,0.46,0.89,0.99,0.12,0.69,0.06,0.06,0.08279999999999998,1
0.59,0.57,0.4,0.54,0.11,0.7,0.09,0.05,0.077,1
0.63,0.62,0.43,0.76,0.08,0.84,0.06,0.02,0.0672,0
0.91,0.7,0.43,0.64,0.06,0.6,0.08,0.0,0.036,0
0.95,0.69,0.88,0.75,0.11,0.74,0.1,0.05,0.0814,1
0.79,0.88,0.65,0.58,0.05,0.68,0.07,0.01,0.034,0
0.9,0.58,0.94,0.89,0.04,0.53,0.06,0.0,0.0212,0
0.74,0.49,0.73,0.89,0.07,0.7,0.05,0.02,0.049,0
0.63,0.86,0.66,0.84,0.17,0.61,0.1,0.03,0.1037,0
0.84,0.96,0.54,0.62,0.07,0.87,0.03,0.03,0.0609,1
0.97,0.46,0.84,0.94,0.07,0.81,0.09,0.01,0.05670000000000001,1
0.83,0.48,0.71,0.93,0.0,0.5,0.09,0.0,0.0,0
0.59,0.56,0.8,0.96,0.01,0.72,0.1,0.0,0.0072,0
0.84,0.55,0.46,0.95,0.08,0.69,0.09,0.06,0.0552,1
0.6,0.48,0.83,0.82,0.07,0.52,0.09,0.02,0.0364,0
0.6,0.87,0.83,0.83,0.17,0.59,0.05,0.04,0.1003,1
0.7,0.53,0.53,0.53,0.0,0.6,0.07,0.0,0.0,0
0.7,0.54,0.62,0.62,0.06,0.83,0.08,0.02,0.0498,0
0.71,0.71,0.86,0.59,0.04,0.88,0.1,0.01,0.0352,0
0.94,0.5,0.4,0.94,0.08,0.71,0.04,0.06,0.056799999999999996,1
0.56,0.59,0.71,0.5,0.03,0.53,0.08,0.0,0.0159,0
0.66,0.86,0.8,0.6,0.0,0.78,0.04,0.0,0.0,0
0.51,0.75,0.65,0.99,0.09,0.6,0.09,0.02,0.054,0
0.61,0.66,0.87,0.58,0.02,0.59,0.1,0.0,0.0118,0
0.91,0.97,0.48,0.87,0.08,0.75,0.06,0.05,0.06,1
0.67,0.5,0.55,0.72,0.06,0.79,0.06,0.01,0.0474,0
0.6,0.77,0.7,0.62,0.06,0.55,0.1,0.0,0.033,0
0.65,0.73,0.41,0.54,0.0,0.6,0.09,0.0,0.0,0
0.98,0.65,0.71,0.74,0.0,0.67,0.05,0.0,0.0,0
0.67,0.98,0.49,0.59,0.06,0.5,0.07,0.0,0.03,0
0.84,0.96,0.64,0.54,0.2,0.61,0.1,0.09,0.122,1
0.75,0.74,0.57,0.71,0.02,0.5,0.1,0.0,0.01,0
0.65,0.65,0.84,0.91,0.04,0.67,0.09,0.04,0.0268,1
0.55,0.8,0.73,0.74,0.13,0.79,0.03,0.04,0.10270000000000001,1
0.93,0.99,0.68,0.86,0.13,0.85,0.08,0.07,0.1105,1
0.92,0.66,0.84,0.69,0.1,0.73,0.06,0.03,0.073,0
0.96,0.9,0.63,0.77,0.09,0.93,0.06,0.06,0.0837,1
0.96,0.64,0.42,0.7,0.0,0.66,0.08,0.0,0.0,0
0.97,0.66,0.54,0.6,0.0,0.73,0.09,0.03,0.0,0
0.91,0.96,0.42,0.78,0.04,0.74,0.08,0.02,0.0296,0
0.61,0.84,0.94,0.54,0.05,0.68,0.07,0.0,0.034,0
0.62,0.55,0.7,0.86,0.11,0.87,0.04,0.0,0.0957,0
0.53,0.91,0.49,0.98,0.07,0.74,0.07,0.02,0.051800000000000006,0
0.88,0.75,0.77,0.54,0.04,0.58,0.08,0.0,0.0232,0
0.51,0.95,0.94,0.82,0.05,0.67,0.1,0.04,0.0335,1
0.75,0.84,0.61,0.94,0.14,0.71,0.05,0.06,0.0994,1
0.76,0.57,0.53,0.85,0.07,0.59,0.09,0.01,0.0413,0
0.76,0.62,0.48,0.57,0.1,0.63,0.06,0.03,0.063,0
0.64,0.66,0.57,0.55,0.04,0.7,0.1,0.01,0.027999999999999997,0
0.57,0.61,0.47,0.64,0.0,0.5,0.1,0.02,0.0,0
0.56,0.82,0.98,0.64,0.1,0.73,0.04,0.04,0.073,1
0.96,0.69,0.77,0.97,0.09,0.64,0.08,0.03,0.0576,0
0.95,0.76,0.54,0.58,0.13,0.63,0.08,0.04,0.0819,1
0.89,0.59,0.85,0.54,0.07,0.66,0.07,0.04,0.046200000000000005,1
0.61,0.57,0.54,0.75,0.17,0.78,0.07,0.05,0.13260000000000002,1
0.62,0.7,0.91,0.72,0.01,0.81,0.08,0.02,0.008100000000000001,0
0.92,0.94,0.45,0.65,0.03,0.53,0.1,0.0,0.0159,0
0.66,0.55,0.93,0.88,0.05,0.68,0.04,0.0,0.034,0
0.66,0.57,0.51,0.84,0.04,0.69,0.03,0.03,0.0276,0
0.85,0.77,0.81,0.59,0.07,0.66,0.01,0.01,0.046200000000000005,0
0.7,0.94,0.58,0.76,0.07,0.81,0.06,0.02,0.05670000000000001,1
0.57,0.81,0.79,0.65,0.05,0.68,0.06,0.04,0.034,1
0.54,0.82,0.44,0.7,0.04,0.73,0.07,0.02,0.0292,0
0.75,0.45,0.66,0.61,0.01,0.55,0.08,0.03,0.0055000000000000005,0
0.65,0.83,0.49,0.58,0.1,0.58,0.08,0.02,0.057999999999999996,0
0.85,0.71,0.82,0.65,0.13,0.71,0.07,0.05,0.0923,1
0.77,0.8,0.91,0.58,0.24,0.82,0.02,0.1,0.19679999999999997,1
0.78,0.76,0.85,0.78,0.09,0.65,0.1,0.03,0.058499999999999996,0
0.96,0.85,0.53,0.72,0.14,0.77,0.06,0.05,0.1078,1
0.61,0.59,0.73,0.88,0.07,0.62,0.05,0.05,0.0434,1
0.86,0.75,0.97,0.92,0.11,0.67,0.07,0.06,0.0737,1
0.79,0.5,0.88,0.98,0.06,0.8,0.04,0.05,0.048,1
0.72,0.69,0.54,0.73,0.05,0.55,0.1,0.0,0.027500000000000004,0
0.65,0.93,0.68,0.71,0.06,0.79,0.07,0.02,0.0474,1
0.63,0.96,0.94,0.8,0.17,0.86,0.06,0.06,0.1462,1
0.59,0.62,0.65,0.59,0.14,0.85,0.06,0.04,0.11900000000000001,1
0.56,0.66,0.66,0.96,0.01,0.72,0.09,0.0,0.0072,0
0.94,0.75,0.42,0.91,0.1,0.69,0.09,0.02,0.06899999999999999,0
0.86,0.8,0.42,0.76,0.06,0.59,0.05,0.0,0.035399999999999994,0
0.78,0.53,0.74,0.83,0.15,0.72,0.06,0.05,0.108,1
0.52,0.9,0.97,0.97,0.01,0.61,0.1,0.0,0.0061,0
0.64,0.47,0.99,0.88,0.11,0.59,0.1,0.02,0.0649,0
0.85,0.77,0.74,0.73,0.08,0.72,0.1,0.04,0.0576,1
0.96,0.71,0.89,0.7,0.0,0.56,0.1,0.0,0.0,0
0.95,0.87,0.45,0.64,0.18,0.8,0.03,0.06,0.144,1
0.68,0.45,0.53,0.66,0.0,0.58,0.08,0.04,0.0,1
0.62,0.88,0.65,0.94,0.02,0.71,0.09,0.0,0.014199999999999999,0
0.91,0.53,0.42,0.68,0.0,0.65,0.04,0.01,0.0,0
0.7,0.49,0.72,0.74,0.12,0.66,0.08,0.06,0.0792,1
0.86,0.59,0.81,0.89,0.04,0.65,0.07,0.0,0.026000000000000002,0
0.76,0.94,0.52,0.71,0.02,0.5,0.1,0.0,0.01,0
0.78,0.53,0.68,0.9,0.09,0.65,0.1,0.04,0.058499999999999996,1
0.69,0.89,0.48,0.98,0.02,0.65,0.06,0.02,0.013000000000000001,0
0.74,0.72,0.71,0.91,0.09,0.59,0.1,0.02,0.053099999999999994,0
0.55,0.57,0.61,0.63,0.07,0.75,0.03,0.0,0.052500000000000005,0
0.85,0.68,0.61,0.77,0.08,0.55,0.1,0.04,0.044000000000000004,1
0.51,0.89,0.97,0.61,0.0,0.63,0.1,0.0,0.0,0
0.71,0.54,0.96,0.76,0.12,0.7,0.08,0.03,0.08399999999999999,0
0.81,0.86,0.73,0.73,0.15,0.86,0.04,0.07,0.129,1
0.65,0.66,0.49,0.71,0.11,0.65,0.08,0.02,0.07150000000000001,0
0.67,0.83,0.64,0.88,0.11,0.69,0.05,0.0,0.0759,0
0.54,0.66,0.51,0.9,0.05,0.78,0.05,0.0,0.03900000000000001,0
0.85,0.81,0.9,0.99,0.16,0.89,0.05,0.04,0.1424,1
0.79,0.96,0.42,0.88,0.01,0.5,0.1,0.0,0.005,0
0.94,0.83,0.58,0.85,0.0,0.5,0.09,0.0,0.0,0
0.68,0.64,0.72,0.72,0.12,0.86,0.07,0.0,0.1032,0
0.72,0.54,0.97,0.57,0.0,0.72,0.07,0.01,0.0,0
0.83,0.54,0.86,0.77,0.12,0.8,0.06,0.02,0.096,1
0.62,0.7,0.94,0.99,0.0,0.59,0.1,0.0,0.0,0
0.92,0.69,0.65,0.78,0.11,0.71,0.07,0.04,0.0781,1
0.78,0.97,0.52,0.64,0.05,0.5,0.07,0.0,0.025,0
0.85,0.72,0.46,0.88,0.09,0.65,0.08,0.01,0.058499999999999996,0
0.71,0.57,0.73,0.57,0.13,0.82,0.03,0.07,0.1066,1
0.96,0.59,0.61,0.77,0.03,0.62,0.06,0.0,0.0186,0
0.85,0.5,0.59,0.82,0.15,0.84,0.08,0.07,0.126,1
0.58,0.96,0.82,0.6,0.07,0.78,0.1,0.01,0.05460000000000001,1
0.88,0.56,0.62,0.91,0.07,0.77,0.08,0.02,0.0539,1
0.68,0.63,0.87,0.86,0.12,0.77,0.08,0.05,0.0924,1
0.87,0.76,0.53,0.74,0.14,0.71,0.08,0.02,0.0994,0
0.55,0.55,0.69,0.83,0.05,0.67,0.05,0.0,0.0335,0
0.96,0.82,0.62,0.71,0.01,0.51,0.1,0.0,0.0051,0
0.64,0.77,0.86,0.51,0.07,0.51,0.09,0.0,0.0357,0
0.69,0.46,0.91,0.65,0.0,0.62,0.06,0.0,0.0,0
0.58,0.99,0.58,0.6,0.07,0.61,0.1,0.0,0.0427,0
0.81,0.59,0.78,0.63,0.05,0.58,0.1,0.02,0.028999999999999998,0
0.53,0.8,0.8,0.81,0.0,0.58,0.04,0.01,0.0,0
0.99,0.49,0.75,0.71,0.02,0.71,0.09,0.0,0.014199999999999999,0
0.67,0.59,0.45,0.54,0.12,0.84,0.06,0.01,0.10079999999999999,0
0.54,0.87,0.62,0.85,0.05,0.56,0.1,0.0,0.028000000000000004,0
0.69,0.54,0.49,0.72,0.03,0.83,0.09,0.01,0.0249,0
0.72,0.61,0.74,0.68,0.09,0.73,0.08,0.02,0.0657,0
0.6,0.78,0.6,0.78,0.15,0.81,0.06,0.08,0.1215,1
0.86,0.96,0.71,0.91,0.06,0.56,0.07,0.03,0.033600000000000005,0
0.71,0.68,0.99,0.72,0.12,0.71,0.07,0.04,0.0852,1
0.53,0.54,0.69,0.58,0.05,0.64,0.09,0.0,0.032,0
0.78,0.96,0.72,0.67,0.18,0.6,0.04,0.05,0.108,1
0.93,0.74,0.45,0.8,0.13,0.73,0.06,0.04,0.0949,1
0.83,0.47,0.44,0.86,0.04,0.72,0.07,0.06,0.0288,1
0.62,0.95,0.94,0.66,0.09,0.64,0.07,0.02,0.0576,0
0.91,0.81,0.54,0.67,0.04,0.56,0.1,0.04,0.022400000000000003,1
0.58,0.47,0.96,0.76,0.06,0.77,0.04,0.0,0.0462,0
0.91,0.84,0.82,0.7,0.04,0.66,0.04,0.02,0.026400000000000003,0
0.8,0.49,0.91,0.5,0.03,0.62,0.1,0.03,0.0186,0
0.56,0.72,0.64,0.81,0.12,0.74,0.07,0.05,0.08879999999999999,1
0.53,0.88,0.52,0.63,0.08,0.74,0.05,0.03,0.0592,0
0.68,0.58,0.45,0.95,0.08,0.77,0.09,0.02,0.0616,0
0.91,0.83,0.76,0.63,0.06,0.76,0.06,0.02,0.0456,1
0.79,0.55,0.41,0.82,0.05,0.69,0.07,0.01,0.034499999999999996,0
0.8,0.52,0.56,0.85,0.04,0.77,0.07,0.0,0.0308,0
0.84,0.81,0.63,0.88,0.05,0.5,0.1,0.02,0.025,0
0.7,0.52,0.51,0.61,0.02,0.73,0.07,0.01,0.0146,0
0.8,0.56,0.83,0.94,0.02,0.6,0.1,0.01,0.012,0
0.68,0.59,0.93,0.74,0.0,0.5,0.1,0.0,0.0,0
0.8,0.63,0.53,0.64,0.06,0.77,0.05,0.01,0.0462,0
0.81,0.92,0.46,0.69,0.03,0.63,0.09,0.0,0.0189,0
0.51,0.9,0.93,0.83,0.15,0.84,0.05,0.05,0.126,1
0.59,0.72,0.65,0.63,0.0,0.58,0.1,0.0,0.0,0
0.51,0.51,0.71,0.79,0.03,0.67,0.07,0.0,0.0201,0
0.51,0.84,0.68,0.93,0.1,0.68,0.08,0.05,0.068,1
0.73,0.51,0.85,0.62,0.0,0.6,0.05,0.0,0.0,0
0.66,0.74,0.78,0.63,0.1,0.64,0.07,0.05,0.064,1
0.81,0.62,0.48,0.78,0.03,0.51,0.06,0.01,0.0153,0
0.65,0.68,0.53,0.75,0.01,0.51,0.07,0.01,0.0051,0
0.65,0.5,0.92,0.52,0.08,0.7,0.07,0.02,0.055999999999999994,0
0.95,0.95,0.56,0.74,0.12,0.67,0.09,0.04,0.0804,1
0.88,0.48,0.88,0.76,0.01,0.66,0.04,0.02,0.006600000000000001,0
0.8,0.99,0.64,0.94,0.07,0.66,0.05,0.0,0.046200000000000005,0
0.92,0.47,0.92,0.89,0.12,0.67,0.09,0.01,0.0804,0
0.73,0.93,0.69,0.65,0.06,0.84,0.07,0.02,0.05039999999999999,1
0.5,0.98,0.84,0.87,0.02,0.56,0.1,0.0,0.011200000000000002,0
0.6,0.95,0.68,0.6,0.07,0.69,0.09,0.0,0.0483,0
0.7,0.91,0.98,0.78,0.07,0.84,0.07,0.0,0.058800000000000005,1
0.53,0.5,0.68,0.96,0.03,0.72,0.07,0.02,0.021599999999999998,0
0.56,0.7,0.57,0.73,0.08,0.71,0.05,0.03,0.056799999999999996,0
0.75,0.88,0.7,0.78,0.04,0.57,0.1,0.05,0.022799999999999997,1
0.96,0.95,0.58,0.83,0.12,0.52,0.1,0.05,0.0624,1
0.99,0.82,0.56,0.6,0.07,0.5,0.1,0.05,0.035,1
0.61,0.55,0.45,0.69,0.0,0.56,0.1,0.0,0.0,0
0.8,0.96,0.51,0.69,0.16,0.93,0.05,0.05,0.14880000000000002,1
0.66,0.73,0.77,0.58,0.0,0.52,0.1,0.03,0.0,0
0.82,0.64,0.42,0.72,0.11,0.61,0.09,0.03,0.06709999999999999,0
0.6,0.54,0.86,0.85,0.04,0.62,0.1,0.01,0.0248,0
0.77,0.7,0.74,0.98,0.07,0.68,0.09,0.05,0.04760000000000001,1
0.81,0.92,0.94,0.76,0.04,0.67,0.05,0.02,0.0268,0
0.5,0.71,0.86,0.73,0.03,0.75,0.07,0.03,0.0225,0
0.96,0.94,0.72,0.89,0.13,0.64,0.07,0.0,0.08320000000000001,0
0.77,0.58,0.92,0.74,0.01,0.74,0.06,0.0,0.0074,0
0.91,0.8,0.68,0.74,0.06,0.73,0.09,0.03,0.0438,0
0.56,0.56,0.42,0.97,0.1,0.64,0.1,0.02,0.064,0
0.51,0.96,0.44,0.82,0.04,0.55,0.08,0.01,0.022000000000000002,0
0.91,0.67,0.98,0.8,0.08,0.55,0.09,0.02,0.044000000000000004,0
0.73,0.65,0.53,0.59,0.07,0.79,0.09,0.0,0.05530000000000001,0
0.53,0.52,0.75,0.88,0.0,0.57,0.09,0.0,0.0,0
0.93,0.83,0.93,0.64,0.1,0.67,0.08,0.04,0.067,1
0.68,0.53,0.67,0.5,0.05,0.67,0.09,0.0,0.0335,0
0.75,0.68,0.8,0.65,0.03,0.52,0.1,0.03,0.0156,0
0.6,0.75,0.71,0.7,0.09,0.84,0.05,0.05,0.0756,1
0.89,0.69,0.57,0.51,0.08,0.71,0.1,0.01,0.056799999999999996,0
0.99,0.61,0.81,0.52,0.07,0.7,0.09,0.03,0.049,0
0.92,0.86,0.79,0.64,0.07,0.66,0.09,0.01,0.046200000000000005,0
0.6,0.73,0.52,0.81,0.0,0.5,0.1,0.0,0.0,0
0.94,0.47,0.41,0.99,0.06,0.77,0.08,0.02,0.0462,1
0.52,0.65,0.91,0.96,0.0,0.83,0.06,0.01,0.0,0
0.61,0.52,0.64,0.76,0.09,0.61,0.07,0.04,0.0549,1
0.52,0.58,0.59,0.85,0.0,0.51,0.07,0.0,0.0,0
0.91,0.83,0.46,0.84,0.11,0.62,0.06,0.01,0.0682,0
0.76,0.6,0.5,0.88,0.0,0.53,0.1,0.0,0.0,0
0.98,0.62,0.44,0.73,0.01,0.76,0.1,0.0,0.0076,0
0.51,0.75,0.68,0.57,0.02,0.52,0.07,0.0,0.010400000000000001,0
0.98,0.55,0.57,0.56,0.16,1.0,0.04,0.04,0.16,1
0.65,0.82,0.47,0.53,0.05,0.84,0.06,0.0,0.042,0
0.51,0.64,0.66,0.79,0.14,0.82,0.09,0.04,0.1148,1
0.79,0.97,0.97,0.59,0.11,0.77,0.07,0.04,0.0847,1
0.69,0.9,0.81,0.74,0.06,0.75,0.08,0.01,0.045,1
0.87,0.97,0.41,0.91,0.1,0.65,0.1,0.03,0.065,0
0.77,0.89,0.74,0.96,0.09,0.58,0.07,0.03,0.052199999999999996,0
0.74,0.48,0.65,0.81,0.08,0.69,0.09,0.04,0.0552,1
0.81,0.64,0.62,0.81,0.13,0.6,0.09,0.04,0.078,1
0.59,0.75,0.44,0.99,0.07,0.6,0.09,0.0,0.042,0
0.91,0.64,0.55,0.81,0.1,0.78,0.06,0.01,0.07800000000000001,1
0.89,0.55,0.81,0.59,0.16,0.8,0.09,0.08,0.128,1
0.82,0.94,0.5,0.58,0.0,0.74,0.07,0.0,0.0,0
0.62,0.45,0.58,0.74,0.04,0.61,0.09,0.0,0.0244,0
0.9,0.88,0.55,0.74,0.12,0.9,0.08,0.0,0.108,1
0.91,0.62,0.71,0.9,0.0,0.53,0.06,0.02,0.0,0
0.96,0.83,0.51,0.65,0.04,0.73,0.05,0.01,0.0292,0
0.86,0.88,0.41,0.98,0.03,0.65,0.07,0.0,0.0195,0
0.65,0.77,0.82,0.65,0.09,0.8,0.06,0.0,0.072,1
0.94,0.98,0.61,0.79,0.12,0.65,0.07,0.03,0.078,0
0.71,0.8,0.65,0.87,0.03,0.72,0.08,0.0,0.021599999999999998,0
0.69,0.62,0.72,0.54,0.08,0.73,0.07,0.05,0.0584,1
0.99,0.91,0.63,0.56,0.06,0.58,0.09,0.02,0.0348,0
0.92,0.75,0.44,0.62,0.14,0.97,0.08,0.02,0.1358,0
0.76,0.79,0.6,0.57,0.1,0.69,0.07,0.03,0.06899999999999999,0
0.9,0.83,0.85,0.82,0.12,0.81,0.04,0.02,0.09720000000000001,1
0.65,0.82,0.57,0.59,0.15,0.81,0.08,0.02,0.1215,0
0.83,0.59,0.78,0.69,0.1,0.58,0.09,0.02,0.057999999999999996,0
0.81,0.91,0.44,0.81,0.05,0.75,0.1,0.0,0.037500000000000006,1
0.75,0.5,0.47,0.78,0.06,0.54,0.08,0.05,0.0324,1
0.74,0.52,0.6,0.5,0.0,0.56,0.1,0.01,0.0,0
0.51,0.84,0.86,0.76,0.01,0.65,0.08,0.0,0.006500000000000001,0
0.61,0.66,0.96,0.69,0.09,0.7,0.09,0.03,0.063,0
0.89,0.45,0.44,0.63,0.15,0.82,0.06,0.04,0.12299999999999998,1
0.58,0.57,0.52,0.64,0.11,0.5,0.1,0.04,0.055,1
0.61,0.99,0.58,0.55,0.09,0.55,0.08,0.05,0.0495,1
0.75,0.68,0.68,0.51,0.0,0.67,0.1,0.0,0.0,0
0.58,0.65,0.41,0.78,0.06,0.65,0.06,0.04,0.039,1
0.59,0.89,0.76,0.88,0.02,0.66,0.06,0.0,0.013200000000000002,0
0.81,0.87,0.65,0.81,0.1,0.75,0.03,0.02,0.07500000000000001,1
0.83,0.48,0.68,0.54,0.0,0.5,0.1,0.02,0.0,0
0.97,0.51,0.97,0.71,0.08,0.55,0.1,0.0,0.044000000000000004,0
0.69,0.56,0.44,0.77,0.03,0.71,0.1,0.0,0.0213,0
0.88,0.57,0.71,0.81,0.07,0.6,0.08,0.01,0.042,0
0.51,0.98,0.77,0.78,0.04,0.67,0.07,0.02,0.0268,0
0.5,0.88,0.87,0.89,0.0,0.59,0.1,0.0,0.0,0
0.85,0.6,0.41,0.52,0.12,0.61,0.1,0.06,0.0732,1
0.73,0.5,0.44,0.8,0.04,0.6,0.1,0.03,0.024,0
0.76,0.58,0.86,0.62,0.04,0.75,0.1,0.01,0.03,0
0.51,0.95,0.72,0.55,0.06,0.69,0.08,0.05,0.04139999999999999,1
0.8,0.92,0.9,0.7,0.05,0.62,0.1,0.0,0.031,0
0.63,0.75,0.74,0.63,0.03,0.68,0.04,0.0,0.0204,0
0.51,0.8,0.58,0.74,0.13,0.87,0.07,0.05,0.1131,1
0.78,0.81,0.54,0.56,0.08,0.69,0.07,0.02,0.0552,0
0.64,0.85,0.74,0.92,0.05,0.87,0.06,0.02,0.043500000000000004,1
0.61,0.79,0.47,0.71,0.0,0.64,0.08,0.03,0.0,0
0.86,0.98,0.86,0.81,0.06,0.64,0.08,0.0,0.0384,0
0.77,0.54,0.4,0.9,0.01,0.65,0.1,0.0,0.006500000000000001,0
0.69,0.61,0.77,0.81,0.04,0.87,0.06,0.0,0.0348,0
0.88,0.95,0.61,0.91,0.16,0.91,0.03,0.05,0.1456,1
0.73,0.86,0.56,0.79,0.15,0.62,0.09,0.09,0.093,1
0.7,0.74,0.55,0.66,0.05,0.51,0.09,0.0,0.025500000000000002,0
0.59,0.88,0.84,0.89,0.03,0.61,0.1,0.02,0.0183,0
0.95,0.99,0.4,0.87,0.12,0.95,0.04,0.03,0.11399999999999999,1
0.63,0.51,0.42,0.7,0.11,0.73,0.09,0.03,0.0803,0
0.86,0.62,0.95,0.75,0.06,0.6,0.09,0.0,0.036,0
0.67,0.63,0.45,0.92,0.16,0.97,0.06,0.07,0.1552,1
0.73,0.59,0.91,0.52,0.03,0.74,0.05,0.04,0.022199999999999998,1
0.63,0.83,0.92,0.87,0.05,0.62,0.08,0.01,0.031,0
0.83,0.88,0.97,0.66,0.07,0.62,0.09,0.03,0.0434,0
0.61,0.66,0.42,0.88,0.04,0.75,0.06,0.0,0.03,0
0.71,0.83,0.86,0.55,0.01,0.52,0.1,0.0,0.005200000000000001,0
0.55,0.86,0.69,0.7,0.1,0.65,0.08,0.02,0.065,0
