test_1_score,test_2_score,test_3_score,test_4_score,hours_studied_per_week,attendance_percent,classes_missed,office_hours_attended,Passed the class
70,63,94,94,8,56,8,0,No
93,61,57,80,9,50,7,2,No
81,55,65,50,14,77,7,3,No
95,91,56,60,13,79,6,3,Yes
98,85,50,94,13,79,7,7,Yes
70,93,91,83,11,72,8,8,Yes
84,55,84,68,11,61,10,6,Yes
81,82,95,60,6,83,7,2,Yes
79,85,68,82,11,70,8,1,No
88,94,93,82,14,69,6,5,Yes
98,96,48,57,8,73,10,6,Yes
61,46,88,94,12,67,8,4,Yes
90,48,56,57,5,54,9,5,Yes
96,94,66,83,11,66,9,0,No
67,72,76,89,1,63,7,1,No
70,77,61,76,11,84,7,5,Yes
62,55,47,78,11,53,10,6,Yes
70,47,42,63,5,69,6,1,No
57,84,77,83,0,68,8,0,No
95,49,74,94,7,71,6,4,Yes
89,96,71,86,4,70,8,0,No
95,65,47,50,8,82,7,0,No
56,66,83,58,10,79,7,3,No
72,98,98,59,10,66,9,3,No
93,81,66,79,0,70,5,3,No
81,55,71,92,5,67,9,4,Yes
60,88,75,67,8,76,7,2,Yes
71,66,73,66,13,61,10,0,No
71,85,99,55,7,65,8,2,No
92,97,64,60,11,77,10,3,Yes
74,57,70,73,7,66,10,0,No
71,98,81,85,5,70,9,0,No
77,96,86,82,6,79,7,3,Yes
78,47,52,82,5,62,10,0,No
62,57,95,67,12,81,5,4,Yes
67,72,54,54,3,53,10,0,No
51,98,93,80,6,74,10,2,No
78,55,90,65,3,50,9,2,No
70,55,89,51,12,74,8,6,Yes
64,65,52,58,8,70,6,5,Yes
76,96,91,51,15,92,9,3,Yes
99,65,91,86,0,55,8,2,No
80,51,72,69,11,51,9,0,No
64,61,70,66,1,66,7,0,No
72,92,64,74,5,55,8,1,No
73,58,87,68,5,66,7,3,No
93,77,97,91,8,61,9,0,No
62,55,79,57,5,63,8,0,No
71,57,62,60,2,50,5,0,No
92,45,77,62,6,50,10,5,Yes
86,78,42,62,7,71,10,4,Yes
82,53,91,58,0,59,6,0,No
52,57,55,54,7,56,10,0,No
68,81,41,67,7,61,10,1,No
72,74,62,89,8,73,7,5,Yes
78,85,73,63,5,62,8,1,No
79,89,69,83,8,72,6,2,No
88,81,86,71,0,51,10,0,No
93,91,49,97,6,71,9,1,No
96,51,40,82,5,63,7,3,No
74,58,61,73,6,70,8,2,No
86,92,91,78,8,71,6,0,No
96,50,86,62,12,68,6,3,No
57,78,95,99,1,57,7,0,No
91,60,72,76,11,69,7,3,No
65,95,64,50,18,85,5,6,Yes
57,81,61,56,4,81,7,0,No
50,80,55,53,10,62,10,0,No
93,90,69,59,16,86,5,5,Yes
54,50,57,89,12,69,6,5,Yes
52,52,63,84,3,62,9,0,No
50,68,44,88,11,74,6,3,No
53,47,92,65,9,64,6,3,No
89,48,76,76,12,68,8,3,No
84,76,94,69,11,90,5,2,Yes
81,45,62,59,12,73,6,2,No
91,78,81,94,7,72,9,3,No
83,89,66,82,6,84,5,0,Yes
92,53,94,56,0,78,9,0,No
74,56,51,91,4,62,9,1,No
59,54,49,93,4,56,6,2,No
70,54,73,95,0,50,10,2,No
95,94,95,71,9,57,8,2,No
88,88,72,92,14,70,5,3,No
76,98,55,66,4,53,9,1,No
76,92,68,58,17,76,6,5,Yes
51,67,57,89,7,60,10,2,No
90,50,66,59,11,68,7,0,No
97,68,46,85,8,67,8,1,No
62,68,75,80,2,59,7,0,No
58,65,66,80,8,57,8,4,Yes
85,86,49,54,12,76,8,6,Yes
71,75,49,67,6,78,10,2,No
91,91,96,55,10,82,7,2,Yes
75,85,50,91,7,76,4,3,Yes
61,74,96,99,3,60,10,3,No
66,78,69,77,8,62,10,0,No
63,62,42,92,2,69,2,0,No
63,56,68,73,9,72,4,1,No
83,79,53,54,19,86,5,9,Yes
69,51,52,77,11,89,4,2,No
60,85,58,52,6,66,8,0,No
65,84,64,67,9,61,7,3,No
80,69,49,53,13,68,10,6,Yes
55,50,54,89,4,65,10,0,No
68,45,67,98,8,62,6,3,No
86,90,79,91,12,79,10,0,Yes
53,60,88,81,6,73,10,1,No
96,92,77,81,10,83,0,5,Yes
53,48,46,68,10,83,4,5,Yes
69,73,53,78,15,50,7,7,Yes
59,82,98,82,6,58,7,0,No
73,91,69,51,14,75,2,4,Yes
84,72,79,60,0,50,10,0,No
75,66,51,96,9,68,6,1,No
86,52,67,82,0,52,10,0,No
87,76,89,90,4,60,10,1,No
70,77,53,89,2,79,10,2,No
89,57,40,50,15,87,5,5,Yes
88,71,43,91,6,66,8,3,No
70,62,88,66,6,57,10,3,No
59,62,57,99,4,67,10,0,No
87,57,90,65,0,50,10,0,No
95,66,75,51,9,76,5,3,Yes
53,58,71,98,5,71,9,2,No
94,55,67,53,3,51,7,1,No
69,83,67,81,14,88,3,2,Yes
66,94,77,56,14,68,10,3,No
56,97,71,78,1,52,10,1,No
53,66,47,58,2,64,10,0,No
78,80,64,84,10,57,10,6,Yes
63,61,86,54,3,55,10,3,No
52,95,59,99,6,70,7,4,Yes
73,76,72,70,2,58,6,1,No
86,58,69,66,2,76,7,0,No
65,86,76,88,4,50,9,0,No
53,73,55,63,6,67,7,0,No
73,50,92,81,7,77,7,0,Yes
83,94,64,64,4,72,6,3,No
79,48,77,70,0,53,10,0,No
67,55,92,63,0,78,5,2,No
68,89,81,90,12,53,10,4,Yes
80,84,49,65,18,78,4,4,Yes
68,54,44,50,8,77,8,4,Yes
98,99,47,89,0,72,7,0,No
95,72,98,67,11,62,9,7,Yes
68,55,72,83,12,74,10,4,Yes
71,79,76,75,4,72,3,0,No
73,59,40,85,10,68,7,3,No
94,52,70,70,12,60,9,2,No
61,64,46,50,12,55,8,1,No
79,94,86,76,5,58,9,0,No
87,65,62,60,7,61,9,3,No
80,45,97,87,7,59,10,2,No
85,73,63,63,14,93,2,0,Yes
68,68,53,77,4,70,4,0,No
97,74,62,76,13,70,8,7,Yes
94,84,98,71,10,68,10,3,No
85,79,48,70,12,70,10,0,No
79,77,47,73,11,77,6,2,No
98,64,47,68,4,53,7,2,No
82,60,42,73,8,58,10,1,No
67,53,97,75,2,62,9,0,No
98,75,71,74,8,50,7,0,No
77,61,91,94,15,67,6,7,Yes
96,75,43,93,6,75,8,0,Yes
60,92,88,78,4,72,7,0,No
94,67,77,59,7,51,10,3,No
82,50,41,60,9,68,8,2,No
66,74,48,73,10,57,6,7,Yes
55,99,85,73,9,61,9,4,Yes
53,51,40,61,1,55,6,0,No
69,92,88,56,6,73,8,2,No
97,84,50,89,16,85,5,4,Yes
96,86,68,66,1,56,10,0,No
76,90,65,84,9,54,10,1,No
64,55,66,55,4,50,10,2,No
55,78,77,61,8,79,6,1,No
96,56,68,64,8,65,7,5,Yes
63,96,72,81,0,58,10,1,No
60,96,67,72,10,58,8,0,No
88,89,70,56,3,72,8,0,No
58,91,58,87,1,67,6,0,No
75,71,87,80,7,63,10,2,No
65,56,65,78,3,54,9,1,No
54,57,89,93,1,63,7,0,No
59,52,68,77,3,50,9,2,No
99,60,50,61,4,69,10,0,No
52,73,80,76,13,70,8,2,No
62,79,71,53,8,70,6,4,Yes
92,73,60,70,7,67,10,2,No
98,75,77,58,12,80,7,2,Yes
79,57,73,98,5,74,8,0,No
94,56,79,83,6,76,5,3,Yes
55,95,61,86,12,73,7,2,No
66,46,87,70,2,61,8,0,No
94,77,66,72,3,56,7,1,No
68,52,99,73,9,63,3,5,Yes
91,85,47,59,9,72,10,2,No
84,84,79,87,9,69,5,1,No
95,97,85,55,7,79,5,2,Yes
75,93,70,70,11,69,6,4,Yes
54,85,40,86,0,50,10,3,No
78,76,78,78,0,61,8,2,No
86,82,73,89,6,75,8,0,Yes
69,72,86,70,10,75,8,2,Yes
98,59,98,71,14,79,9,3,Yes
70,67,63,84,9,79,5,2,Yes
59,68,67,95,1,63,9,1,No
54,57,89,54,0,50,8,0,No
85,65,43,64,13,81,3,1,No
55,98,57,90,12,75,7,8,Yes
75,56,68,96,9,68,6,0,No
53,57,62,68,10,58,10,3,No
88,83,76,65,9,61,10,5,Yes
88,67,66,89,6,50,10,1,No
99,94,55,96,8,63,8,0,No
84,90,84,92,11,65,8,3,No
50,87,66,72,8,67,8,3,No
73,72,48,53,0,76,7,1,No
85,58,44,70,11,81,5,4,Yes
55,61,98,73,8,68,7,2,No
90,68,47,91,9,61,10,3,No
95,97,57,75,16,64,10,5,Yes
93,78,74,91,4,75,7,0,No
80,95,45,51,3,50,10,0,No
69,92,82,89,10,58,7,0,No
73,66,62,57,3,89,2,0,No
74,54,85,58,14,72,9,3,No
85,98,65,51,5,86,4,0,Yes
70,52,95,63,2,58,5,0,No
79,65,90,69,5,77,10,0,Yes
73,81,78,51,6,69,10,0,No
93,51,63,53,5,58,5,1,No
91,70,49,84,6,57,10,1,No
79,57,54,63,4,50,6,1,No
71,60,77,70,0,50,6,0,No
77,74,59,97,10,77,3,3,Yes
56,75,68,64,4,63,7,0,No
84,49,45,88,5,59,10,0,No
77,76,87,99,1,60,5,0,No
63,60,48,69,0,69,6,0,No
59,91,90,55,7,53,10,2,No
65,53,89,77,13,76,6,6,Yes
65,66,44,97,14,59,9,4,Yes
80,99,87,92,4,50,10,0,No
91,88,78,51,5,59,7,3,No
74,84,58,77,8,63,6,3,No
62,89,44,83,0,57,10,0,No
55,81,59,63,3,62,8,5,Yes
93,58,50,58,8,73,9,2,No
58,60,94,72,4,56,10,4,Yes
94,87,89,93,0,50,6,1,No
85,64,99,84,0,71,6,0,No
92,88,66,71,1,74,6,0,No
69,59,68,54,6,68,7,7,Yes
67,88,46,90,3,67,10,1,No
92,70,99,78,15,85,0,4,Yes
70,53,89,84,0,70,7,0,No
53,45,42,99,11,59,6,4,Yes
99,79,44,83,2,60,10,0,No
82,88,94,53,21,64,6,5,Yes
76,64,52,94,10,73,10,4,Yes
56,89,55,98,0,66,8,0,No
55,99,93,58,13,59,8,5,Yes
64,50,51,63,3,70,6,0,No
67,86,78,94,12,81,6,5,Yes
81,54,66,54,6,81,3,2,No
60,92,93,99,5,63,5,0,No
69,77,84,96,6,71,6,2,No
73,60,99,76,0,73,9,2,No
64,80,72,60,4,52,10,1,No
97,50,54,79,0,59,5,0,No
56,63,60,86,3,50,10,0,No
70,75,83,88,8,68,8,3,No
91,46,56,83,12,70,9,5,Yes
75,62,94,73,14,68,7,3,No
93,86,91,65,8,74,9,3,No
63,72,76,79,1,53,8,4,Yes
86,48,88,73,6,62,8,0,No
70,45,95,52,4,75,5,3,No
67,91,54,78,14,94,2,7,Yes
54,86,59,91,11,85,0,5,Yes
52,94,58,61,8,71,6,5,Yes
72,60,40,76,14,81,6,5,Yes
75,89,43,78,5,68,9,0,No
86,91,42,51,11,51,10,2,No
73,46,47,78,3,50,10,0,No
98,96,80,89,7,64,7,1,No
68,80,83,58,0,79,5,0,No
74,45,44,93,6,54,10,4,Yes
70,83,48,77,8,75,7,2,No
61,67,40,86,5,53,7,1,No
90,70,94,72,10,79,5,5,Yes
82,55,82,62,11,77,5,0,Yes
99,86,69,54,9,56,10,6,Yes
53,45,46,81,7,68,7,2,No
91,55,61,77,9,76,6,2,Yes
56,68,59,64,11,73,9,2,No
71,54,68,73,8,80,6,1,No
82,58,66,81,16,83,6,8,Yes
66,58,64,70,7,85,4,1,No
73,51,85,54,1,77,9,0,No
83,67,74,86,13,78,9,3,Yes
77,87,66,85,11,79,7,4,Yes
92,66,50,77,10,68,7,2,No
90,80,56,81,0,64,10,0,No
88,71,70,72,15,82,3,5,Yes
71,46,57,65,10,65,10,4,Yes
98,83,58,99,10,85,7,0,Yes
66,95,89,59,0,56,7,0,No
83,90,77,78,6,69,4,1,No
55,63,68,76,15,73,6,5,Yes
95,51,54,84,9,84,6,5,Yes
55,56,46,91,0,50,10,2,No
83,47,76,94,3,50,10,3,No
50,91,76,73,5,59,10,1,No
59,49,46,72,11,67,9,2,No
70,52,61,52,0,61,10,0,No
54,58,51,85,10,57,10,4,Yes
51,80,47,94,10,73,6,3,No
71,51,96,63,17,64,8,1,No
97,51,57,53,10,71,5,2,No
51,94,67,93,1,73,7,2,No
59,90,57,97,7,76,5,4,Yes
83,76,70,91,2,59,10,1,No
65,52,56,81,7,61,8,2,No
97,56,62,69,16,100,2,3,Yes
88,54,50,66,2,69,6,1,No
71,58,54,78,11,78,6,4,Yes
61,53,69,88,2,72,4,3,No
73,82,91,81,0,66,8,0,No
96,74,70,53,16,82,9,7,Yes
89,49,96,73,8,72,4,5,Yes
87,45,45,93,9,72,8,1,No
59,45,51,91,9,66,3,3,No
84,64,62,51,0,59,10,0,No
98,93,78,63,8,83,4,3,Yes
81,55,79,89,0,69,10,0,No
56,70,75,91,3,55,10,0,No
70,88,74,87,13,82,7,3,Yes
69,47,42,83,8,67,7,4,Yes
75,50,81,95,3,56,7,0,No
53,87,95,92,7,71,8,3,No
95,89,67,51,8,60,9,0,No
71,55,54,85,7,58,9,0,No
64,52,52,55,2,75,5,3,No
89,73,58,85,7,55,10,3,No
70,54,79,71,6,68,10,4,Yes
64,78,57,54,9,78,6,2,No
71,68,70,87,8,60,9,1,No
77,90,76,90,0,71,8,1,No
63,92,60,71,1,67,8,2,No
76,61,78,97,9,100,3,3,Yes
90,76,44,60,7,69,9,3,No
89,55,96,92,4,83,4,2,No
77,78,90,80,6,54,10,3,No
75,68,96,91,5,57,5,0,No
98,99,56,78,1,72,9,1,No
51,49,58,82,13,68,8,4,Yes
74,73,43,71,6,62,7,3,No
52,92,93,98,7,86,7,2,Yes
57,92,65,76,7,74,10,3,No
93,78,63,57,13,79,10,4,Yes
82,60,78,97,10,73,8,0,No
91,69,95,55,7,71,9,3,No
84,81,93,95,3,50,10,0,No
55,52,77,74,11,73,9,5,Yes
88,73,85,83,8,61,7,4,Yes
72,96,93,58,11,81,7,2,Yes
74,90,58,85,2,55,8,0,No
99,69,69,80,11,66,10,3,No
92,86,65,68,1,50,10,0,No
68,67,91,98,4,71,7,1,No
54,78,50,50,7,82,6,0,No
60,47,93,73,14,65,5,4,Yes
61,74,78,83,10,64,8,4,Yes
59,94,42,66,14,84,5,1,No
57,97,91,83,10,70,8,3,No
73,78,61,84,2,64,10,1,No
77,76,56,85,2,67,8,0,No
90,97,50,62,13,71,4,4,Yes
85,73,86,74,2,58,8,0,No
86,53,78,61,0,51,9,0,No
70,46,86,70,0,50,9,1,No
57,83,66,86,8,50,10,2,No
58,51,88,95,1,63,8,0,No
96,90,82,87,15,77,8,3,Yes
64,49,68,50,7,72,8,5,Yes
97,52,99,97,8,77,10,0,Yes
95,76,51,55,10,72,9,5,Yes
89,99,52,94,12,58,10,3,No
67,98,97,94,11,64,7,4,Yes
91,62,50,60,3,53,10,1,No
69,82,70,65,13,63,10,4,Yes
55,90,50,71,10,76,5,4,Yes
61,62,96,95,4,65,7,1,No
51,93,97,60,11,62,9,3,No
56,85,80,86,0,67,8,4,Yes
65,89,82,75,11,69,8,3,No
52,60,96,75,7,60,8,2,No
94,65,75,91,0,64,9,0,No
52,54,41,70,15,89,5,4,Yes
76,86,62,75,1,55,9,0,No
99,48,75,64,10,61,10,3,No
92,88,53,88,16,80,6,5,Yes
89,52,76,84,0,62,10,1,No
87,91,88,60,10,66,9,4,Yes
82,97,66,58,13,67,10,1,No
77,99,51,91,14,75,8,4,Yes
50,63,97,72,11,59,10,1,No
57,91,68,53,12,68,0,1,No
86,84,45,79,6,59,7,0,No
81,84,83,77,10,61,9,6,Yes
97,95,86,74,19,82,8,5,Yes
92,53,62,71,13,92,6,5,Yes
86,74,90,74,4,50,9,3,No
53,61,49,75,11,80,4,0,No
79,84,73,99,14,75,7,5,Yes
55,88,83,78,2,50,10,0,No
95,59,51,95,7,63,9,5,Yes
68,48,71,90,4,98,6,1,No
81,50,65,81,11,51,9,4,Yes
58,60,46,75,3,75,7,0,No
61,70,71,77,3,67,5,0,No
60,81,72,69,12,63,7,2,No
95,67,57,97,2,67,10,1,No
65,57,74,51,7,71,9,5,Yes
50,91,59,72,3,62,10,1,No
94,61,70,88,13,70,7,3,No
70,98,44,54,5,61,10,3,No
79,71,71,70,7,70,8,5,Yes
62,96,91,71,0,65,7,0,No
83,66,86,98,7,77,8,0,Yes
53,81,81,60,5,63,10,0,No
77,63,58,79,7,71,8,0,No
87,83,40,77,15,62,7,5,Yes
80,79,46,85,10,53,9,0,No
76,57,99,66,8,64,10,2,No
54,58,97,70,1,50,9,3,No
74,92,61,86,18,78,7,5,Yes
52,75,89,85,0,64,6,0,No
82,89,73,74,2,63,10,0,No
53,46,90,73,1,56,8,0,No
74,90,95,79,9,61,10,0,No
69,96,95,91,8,75,9,0,Yes
83,83,49,84,4,75,7,1,No
75,81,86,70,8,68,4,3,No
54,58,81,55,11,63,8,3,No
84,53,65,70,7,75,2,4,Yes
77,54,71,57,0,50,9,1,No
78,51,99,54,5,54,10,1,No
58,72,81,89,2,68,7,0,No
87,90,66,59,1,50,8,0,No
99,69,51,80,8,55,8,0,No
55,90,79,79,2,74,8,1,No
68,72,62,70,5,50,10,0,No
93,46,53,85,9,66,10,2,No
60,61,73,76,7,85,7,0,No
51,96,56,87,13,79,7,3,Yes
96,48,45,84,0,50,9,0,No
93,57,66,81,6,70,7,0,No
93,62,47,75,12,76,10,5,Yes
58,47,72,53,0,50,10,2,No
70,95,74,76,7,72,5,2,No
73,81,86,85,8,81,8,6,Yes
83,77,56,86,2,78,9,0,No
71,85,65,76,4,69,10,3,No
52,68,96,96,0,68,8,0,No
61,52,46,97,7,58,8,1,No
77,79,85,55,0,77,9,0,No
79,46,63,67,2,53,9,0,No
75,77,64,75,4,57,10,3,No
97,56,74,93,12,68,10,4,Yes
70,66,65,73,0,55,10,0,No
77,57,98,56,13,61,10,2,No
75,54,89,93,10,67,7,2,No
82,61,93,63,12,87,3,5,Yes
70,87,44,62,5,59,10,2,No
84,49,91,75,4,58,10,0,No
83,53,93,92,2,76,9,1,No
90,57,86,92,10,50,8,4,Yes
96,96,77,51,7,75,5,1,Yes
67,67,99,95,2,60,9,2,No
60,74,74,96,4,69,8,2,No
72,87,69,72,9,72,5,0,No
97,99,89,77,3,77,5,3,No
71,48,64,50,1,50,9,0,No
66,65,63,81,13,60,8,6,Yes
54,87,69,61,2,66,6,0,No
93,53,59,95,14,63,7,5,Yes
60,51,93,99,2,70,7,3,No
79,60,42,84,0,64,8,0,No
64,67,71,75,13,76,5,6,Yes
76,67,98,80,15,68,9,0,No
84,75,47,61,5,65,9,2,No
82,49,90,78,12,70,8,2,No
69,50,89,54,6,83,8,0,No
65,95,86,84,8,65,9,0,No
83,45,62,56,7,60,5,1,No
51,92,85,65,7,77,4,6,Yes
84,72,55,81,8,59,10,2,No
89,62,74,66,7,85,4,2,Yes
77,68,64,70,4,50,10,0,No
96,57,54,76,4,82,7,0,No
88,77,90,89,2,62,8,0,No
55,54,47,96,0,56,7,3,No
58,51,73,64,4,81,6,0,No
69,81,64,72,3,60,6,5,Yes
50,76,88,57,0,50,10,0,No
57,89,83,74,3,62,10,4,Yes
72,66,58,60,4,70,7,2,No
52,60,82,70,2,61,9,1,No
53,68,89,59,13,70,10,5,Yes
74,96,52,99,5,62,8,1,No
96,98,85,58,16,82,5,2,Yes
87,58,51,97,3,51,10,0,No
64,55,54,50,8,72,4,2,No
70,63,62,71,1,76,4,0,No
84,67,92,55,16,90,2,6,Yes
95,78,79,79,14,89,5,4,Yes
63,84,41,83,11,62,8,6,Yes
85,57,79,62,16,93,4,7,Yes
61,83,62,71,11,70,5,3,No
66,88,99,55,9,73,8,2,No
88,72,98,90,1,61,7,0,No
58,84,44,95,0,54,10,0,No
84,60,73,73,0,62,10,2,No
62,94,49,70,0,68,10,0,No
64,95,66,88,3,69,8,0,No
67,72,94,72,12,76,7,4,Yes
82,48,81,54,1,53,8,0,No
55,72,43,56,4,62,9,0,No
76,56,43,52,6,69,9,3,No
72,60,47,62,7,51,10,2,No
76,97,45,61,5,71,10,0,No
83,98,64,55,14,78,6,2,Yes
95,93,66,83,9,83,9,0,Yes
87,80,86,64,9,65,7,0,No
63,64,89,96,18,77,8,4,Yes
85,70,92,67,16,76,7,5,Yes
57,70,93,98,6,73,5,0,No
84,66,79,52,10,66,10,4,Yes
68,53,59,71,1,73,10,0,No
79,49,66,84,0,58,6,0,No
63,61,46,77,9,71,8,2,No
69,93,98,90,2,55,8,0,No
98,78,62,91,11,59,9,6,Yes
74,46,59,61,16,75,8,6,Yes
89,97,88,50,0,51,10,0,No
73,99,90,85,0,50,7,0,No
63,51,73,79,1,61,5,0,No
75,80,68,72,11,58,10,6,Yes
87,57,83,86,13,70,5,0,No
72,64,90,77,10,70,7,2,No
71,74,44,98,8,79,7,2,Yes
97,74,66,54,8,67,7,0,No
68,55,51,85,6,70,9,3,No
95,75,56,96,14,61,5,6,Yes
52,47,76,59,1,50,7,0,No
91,46,73,54,7,76,6,1,No
68,92,69,63,2,55,8,0,No
58,47,75,73,7,57,6,3,No
77,59,45,77,6,56,10,1,No
69,61,71,70,19,76,4,3,No
94,92,71,94,1,67,5,4,Yes
56,96,48,89,12,50,10,7,Yes
63,51,97,61,3,89,5,4,Yes
58,92,61,69,11,72,9,0,No
68,49,49,81,9,60,2,5,Yes
96,78,68,87,7,65,7,2,No
63,77,50,89,1,51,10,1,No
87,98,67,91,3,65,7,0,No
85,89,41,70,9,61,10,0,No
89,60,95,66,3,64,7,0,No
66,81,60,50,6,61,9,1,No
79,47,96,93,0,66,7,0,No
58,91,70,77,9,86,10,2,Yes
82,92,97,51,4,57,9,0,No
74,87,80,66,5,65,7,0,No
63,95,91,88,14,81,4,5,Yes
60,94,56,63,8,80,8,2,No
84,65,66,63,11,75,9,3,No
90,85,69,93,3,55,7,2,No
63,52,80,97,7,55,10,1,No
79,66,96,67,9,72,9,3,No
90,95,47,89,4,71,8,1,No
53,98,76,83,7,72,7,0,No
53,49,44,92,2,68,10,2,No
77,61,65,50,8,55,10,1,No
57,81,45,91,0,54,9,1,No
51,58,55,67,0,58,7,0,No
90,83,40,97,1,63,8,0,No
95,85,48,83,3,66,10,1,No
71,72,60,72,4,67,8,0,No
90,75,46,98,10,50,10,3,No
65,61,82,65,6,53,5,1,No
78,79,54,68,8,69,7,4,Yes
98,84,63,86,4,66,9,3,No
97,66,44,55,8,66,9,2,No
79,89,90,73,14,78,5,4,Yes
61,92,77,66,9,76,10,0,Yes
84,97,94,97,13,62,10,3,No
60,73,68,65,4,50,10,0,No
95,54,85,88,5,61,10,0,No
99,62,91,97,10,77,5,4,Yes
70,79,96,90,2,65,9,0,No
70,88,85,55,7,64,8,3,No
54,60,50,65,6,78,8,0,No
97,94,43,58,7,88,3,2,Yes
69,93,98,78,3,70,8,0,No
86,51,49,53,3,79,6,2,No
52,74,73,75,0,50,9,1,No
93,63,96,87,9,70,8,2,No
82,99,43,75,13,68,5,5,Yes
58,67,91,63,3,70,10,0,No
58,52,49,84,19,67,9,8,Yes
53,61,72,98,1,61,8,2,No
84,65,85,92,3,57,6,3,No
66,70,57,73,10,78,4,0,No
83,72,51,57,10,65,10,1,No
73,83,90,89,11,55,8,1,No
81,77,62,74,13,78,5,6,Yes
50,84,83,53,2,71,4,0,No
57,63,64,64,7,58,9,2,No
94,73,99,65,1,68,6,0,No
72,64,76,60,12,73,6,5,Yes
96,64,43,77,12,73,9,2,No
89,54,52,56,12,50,9,2,No
61,56,57,99,5,76,4,0,No
61,77,68,87,12,76,6,5,Yes
95,69,83,73,9,72,8,3,No
96,69,69,80,15,79,7,7,Yes
64,97,87,53,6,68,10,0,No
90,48,94,86,5,80,8,2,Yes
68,48,77,84,7,78,7,3,No
75,53,67,55,0,55,10,0,No
78,59,99,95,5,92,7,0,Yes
71,70,46,82,6,74,1,1,No
89,59,63,81,0,80,5,1,No
70,70,80,95,7,69,7,1,No
87,72,49,87,10,71,4,2,No
69,51,76,84,10,58,7,4,Yes
78,76,66,66,0,50,10,0,No
53,56,60,81,10,70,7,6,Yes
56,79,75,63,0,57,10,0,No
77,96,82,68,4,68,8,3,No
77,76,90,73,17,70,10,5,Yes
53,53,68,88,6,73,7,3,No
71,58,46,60,1,70,10,0,No
61,57,52,56,0,77,9,0,No
94,88,84,94,2,86,4,3,No
52,77,92,73,1,69,9,0,No
71,76,62,73,12,92,5,4,Yes
93,63,89,63,10,74,6,0,No
51,74,96,73,11,74,10,2,No
73,60,64,60,1,51,10,0,No
83,56,80,57,0,61,6,1,No
76,54,84,93,9,66,9,3,No
90,46,52,64,6,57,9,2,No
50,62,76,91,1,50,8,1,No
57,57,69,51,10,70,9,4,Yes
72,73,65,73,13,62,9,6,Yes
87,68,51,94,16,75,4,5,Yes
55,82,96,59,1,69,8,0,No
71,56,40,81,12,63,7,4,Yes
74,73,57,66,9,57,9,4,Yes
67,66,97,59,3,50,8,2,No
66,80,60,71,13,66,9,4,Yes
61,45,92,55,0,54,10,0,No
55,87,93,76,3,50,9,0,No
75,99,63,69,13,82,5,4,Yes
76,84,99,50,4,70,7,1,No
57,78,56,66,8,53,10,3,No
68,78,81,50,4,53,8,0,No
91,92,99,86,10,78,6,5,Yes
50,77,48,64,7,54,6,2,No
78,48,91,50,1,51,10,0,No
94,82,79,66,9,67,7,2,No
98,74,67,95,5,57,9,0,No
84,97,54,94,4,85,7,1,No
89,96,52,92,3,68,9,1,No
63,90,67,93,2,65,8,1,No
84,64,92,87,4,64,7,3,No
97,70,56,92,11,80,9,4,Yes
94,59,48,51,0,63,10,6,Yes
69,51,95,67,6,61,8,3,No
98,51,60,61,9,53,10,2,No
62,94,69,78,12,66,9,4,Yes
87,73,50,72,5,62,10,5,Yes
98,67,69,96,9,74,8,0,No
95,78,75,58,2,71,8,2,No
98,64,95,57,1,61,8,2,No
57,59,64,99,7,68,8,0,No
92,77,46,65,18,66,6,4,Yes
69,97,59,72,11,62,10,2,No
82,61,94,78,1,50,8,3,No
75,64,93,59,1,55,10,0,No
88,57,98,61,10,73,7,1,No
70,88,99,61,11,78,8,0,Yes
98,68,74,79,8,61,10,4,Yes
91,98,49,59,8,79,8,2,Yes
92,91,74,63,11,86,6,5,Yes
90,81,40,53,3,72,9,1,No
58,51,53,96,10,82,4,6,Yes
73,52,84,69,8,59,10,0,No
86,67,44,90,3,50,10,2,No
98,58,79,88,7,76,5,2,Yes
90,48,83,56,24,98,8,7,Yes
66,65,77,79,5,82,2,2,Yes
73,90,95,90,10,53,10,2,No
70,54,94,73,10,71,6,3,No
88,66,73,59,8,57,9,0,No
90,74,63,94,6,64,9,3,No
88,74,43,87,4,72,10,2,No
62,60,66,85,5,69,8,3,No
60,55,44,66,5,50,9,0,No
95,66,82,70,14,72,5,1,No
68,73,52,95,15,70,8,2,No
60,69,79,52,15,84,4,7,Yes
62,58,60,50,4,57,10,1,No
95,58,76,67,12,74,8,4,Yes
94,46,71,51,8,65,9,4,Yes
50,98,77,89,2,80,9,0,No
89,57,70,97,0,67,9,0,No
93,47,71,53,5,64,10,0,No
68,74,54,81,6,62,7,0,No
61,62,94,68,1,61,9,2,No
57,98,96,69,13,95,3,4,Yes
57,80,87,91,14,80,4,5,Yes
94,65,69,98,7,70,6,4,Yes
61,97,82,98,15,82,6,2,Yes
97,63,46,56,10,76,8,2,No
82,60,77,58,0,67,8,3,No
94,72,70,56,0,67,9,0,No
75,48,83,76,7,57,10,0,No
88,95,65,70,8,55,7,1,No
77,99,75,84,4,71,9,0,No
54,59,85,73,7,71,6,2,No
57,45,82,81,16,71,9,5,Yes
74,92,65,61,8,61,10,4,Yes
76,91,83,72,6,71,4,3,No
95,60,41,85,4,69,6,0,No
72,98,82,98,2,50,10,3,No
79,64,84,78,11,71,5,4,Yes
94,77,82,52,6,65,5,5,Yes
96,61,48,92,7,64,9,0,No
72,49,97,57,4,53,9,0,No
